# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.0091233366675343,3.3902671270949014,0.8349078395427466,-10.883427057948202,3.027370010002603,3.0000000000000266,0.0009740887082917764,0.0,0.16941492230900165,0.0
 1.0174218414534655,3.4150394565045374,0.830145501881021,-10.882021167404615,3.0522655243603967,3.0,0.002187298439045225,0.0,0.38354722276022746,0.0
 1.0256756105018072,3.4398797495329223,0.8253715217912146,-10.878855457208818,3.077026831505422,3.0,0.003384932498622112,0.0,0.59837108514636,0.0
 1.033884856862806,3.4647855388690183,0.8205871682611591,-10.873943281555555,3.101654570588418,2.999999999999973,0.004568342277267413,0.0,0.8140340189001698,0.0
 1.042049781211736,3.4897543572017877,0.8157937102786856,-10.86729675537378,3.1261493436352077,2.999999999999973,0.005738838140278267,0.0,1.0306843148242228,0.0
 1.0501705724396586,3.5147837372201938,0.810992416831626,-10.858926783231198,3.1505117173189756,3.0,0.006897691226176196,0.0,1.2484712534736768,0.0
 1.0582474082088122,3.5398712116132,0.8061845569078118,-10.84884308595438,3.1747422246264367,3.0000000000000275,0.008046135221296684,0.0,1.467545317273754,0.0
 1.0662804554751155,3.565014313069768,0.8013713994950742,-10.837054225055278,3.1988413664253468,3.0000000000000275,0.009185372008447915,0.0,1.688058405954019,0.0
 1.074269870980078,3.590210574278861,0.796554213581245,-10.823567625053467,3.222809612940234,2.999999999999972,0.01031657260831992,0.0,1.9101640543093357,0.0
 1.0822158017142227,3.615457527929442,0.7917342681541554,-10.808389593787073,3.246647405142668,3.0,0.011440881450124974,0.0,2.134017656335126,0.0
 1.0901183853539642,3.6407527067104737,0.7869128322016372,-10.791525340769198,3.270355156061892,2.9999999999999436,0.012559418002825031,0.0,2.3597766917532685,0.0
 1.097977750673738,3.6660936433109192,0.7820911747115218,-10.772978993675622,3.2939332520212137,3.0,0.013673280379274904,0.0,2.587600959419012,0.0
 1.105794017935034,3.69147787041974,0.7772705646716407,-10.752753613011217,3.317382053805102,3.0000000000000284,0.014783546639371519,0.0,2.8176528154431346,0.0
 1.1135672992538692,3.7169029207259006,0.7724522710698255,-10.73085120501797,3.340701897761608,3.0000000000000573,0.01589127837005589,0.0,3.050097416864016,0.0
 1.121297698948112,3.742366326918363,0.7676375628939075,-10.707272732879234,3.363893096844336,2.999999999999971,0.016997522148849642,0.0,3.2851029739019384,0.0
 1.128985313865975,3.7678656216860906,0.7628277091317184,-10.68201812625035,3.3869559415979245,2.999999999999971,0.018103312366219343,0.0,3.5228410070211944,0.0
 1.1366302336968892,3.793398337718045,0.7580239787710894,-10.655086289174616,3.409890701090667,2.999999999999971,0.01920967308833356,0.0,3.7634866145329515,0.0
 1.1442325412658942,3.81896200770319,0.7532276407998524,-10.626475106399102,3.432697623797682,2.9999999999999707,0.020317620495421136,0.0,4.007218745671152,0.0
 1.1517923128125838,3.844554164330488,0.7484399642058388,-10.596181448144216,3.4553769384377504,2.9999999999999707,0.021428164494425885,0.0,4.2542204863344,0.0
 1.159309618255591,3.870172340288902,0.7436622179768799,-10.564201173326541,3.477928854766773,3.000000000000059,0.022542311395288724,0.0,4.504679352087638,0.0
 1.1667845214435142,3.8958140682673945,0.7388956711008074,-10.53052913127705,3.5003535643305423,3.0000000000000298,0.023661065164422634,0.0,4.758787593109464,0.0
 1.174217080393128,3.9214768809549287,0.7341415925654529,-10.495159161962572,3.5226512411793838,3.0,0.024785430299954978,0.0,5.016742510422815,0.0
 1.18160734751567,3.947158311040467,0.7294012513586475,-10.458084094725535,3.5448220425470103,3.00000000000003,0.025916413230654245,0.0,5.278746785012191,0.0
 1.1889553698319342,3.972855891212973,0.724675916468223,-10.41929574554736,3.5668661094958027,3.00000000000003,0.027055024407341335,0.0,5.545008819122017,0.0
 1.1962611891768564,3.9985671541614085,0.719966856882011,-10.378784912848854,3.5887835675305695,3.0,0.02820228038980923,0.0,5.815743092924161,0.0
 1.2035248423942353,4.024289632574737,0.7152753415878428,-10.336541371820486,3.610574527182706,3.0,0.029359205507778655,0.0,6.091170536088405,0.0
