# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.8755223835233994,2.75,0.0,0,3.0,0,0.0,0.0,0.0
 0.08962443048996784,1.887571191334376,2.75,0.0,0.2688732914699035,3.0,0,0.0,0.0,0.0
 0.12700286567130367,1.8997169753564842,2.75,0.0,0.38100859701391104,3.0000000000000004,0,0.0,0.0,0.0
 0.1558554735432635,1.9119587764734918,2.75,0.0,0.4675664206297906,3.000000000000001,0,0.0,0.0,0.0
 0.18032055169570904,1.9242956355691667,2.75,0.0,0.5409616550871271,2.999999999999998,0,0.0,0.0,0.0
 0.20199704618942269,1.936726593527277,2.75,0.0,0.605991138568268,2.9999999999999987,0,0.0,0.0,0.0
 0.2217029660126223,1.9492506912315903,2.75,0.0,0.6651088980378669,3.0000000000000013,0,0.0,0.0,0.0
 0.23992302382566366,1.9618669695658744,2.75,0.0,0.719769071476991,3.0,0,0.0,0.0,0.0
 0.2569722240379272,1.9745744694138974,2.75,0.0,0.7709166721137815,2.9999999999999933,0,0.0,0.0,0.0
 0.2730687924754826,1.9873722316594267,2.75,0.0,0.8192063774264476,2.9999999999999964,0,0.0,0.0,0.0
 0.2883711886473533,2.0002592971862305,2.75,0.0,0.8651135659420598,3.000000000000007,0,0.0,0.0,0.0
 0.3029987055579361,2.0132347068780767,2.75,0.0,0.9089961166738083,3.0,0,0.0,0.0,0.0
 0.31704375943533286,2.0262975016187332,2.75,0.0,0.9511312783059985,3.0,0,0.0,0.0,0.0
 0.3305796311214269,2.0394467222919674,2.75,0.0,0.9917388933642807,3.0,0,0.0,0.0,0.0
 0.34366556054605196,2.0526814097815476,2.75,0.0,1.0309966816381557,2.9999999999999916,0,0.0,0.0,0.0
 0.3563502223448555,2.0660006049712414,2.75,0.0,1.0690506670345665,3.000000000000009,0,0.0,0.0,0.0
 0.3686741698043746,2.0794033487448167,2.75,0.0,1.1060225094131237,2.9999999999999956,0,0.0,0.0,0.0
 0.38067159815484203,2.0928886819860417,2.75,0.0,1.142014794464526,3.0000000000000044,0,0.0,0.0,0.0
 0.39237164530181873,2.106455645578684,2.75,0.0,1.1771149359054562,3.0000000000000093,0,0.0,0.0,0.0
 0.40379937005325744,2.1201032804065107,2.75,0.0,1.2113981101597724,3.0,0,0.0,0.0,0.0
 0.41497650040284717,2.1338306273532908,2.75,0.0,1.2449295012085415,2.999999999999995,0,0.0,0.0,0.0
 0.42592201459844126,2.1476367273027916,2.75,0.0,1.2777660437953238,3.0,0,0.0,0.0,0.0
 0.436652598461967,2.161520621138781,2.75,0.0,1.3099577953859012,3.00000000000001,0,0.0,0.0,0.0
 0.44718300968144103,2.175481349745027,2.75,0.0,1.3415490290443233,3.0000000000000053,0,0.0,0.0,0.0
 0.4575263711757665,2.1895179540052974,2.75,0.0,1.3725791135272998,3.0000000000000107,0,0.0,0.0,0.0
 0.46769440968789333,2.20362947480336,2.75,0.0,1.4030832290636803,3.0000000000000053,0,0.0,0.0,0.0
 0.4776976515883821,2.2178149530229825,2.75,0.0,1.4330929547651465,2.9999999999999836,0,0.0,0.0,0.0
 0.48754558489405786,2.232073429547933,2.75,0.0,1.462636754682174,3.000000000000017,0,0.0,0.0,0.0
 0.49724679435104074,2.246403945261979,2.75,0.0,1.4917403830531226,3.0000000000000058,0,0.0,0.0,0.0
 0.506809074850013,2.2608055410488888,2.75,0.0,1.5204272245500396,3.0000000000000173,0,0.0,0.0,0.0
 0.5162395272668366,2.27527725779243,2.75,0.0,1.5487185818005105,3.0,0,0.0,0.0,0.0
 0.5255446399390322,2.28981813637637,2.75,0.0,1.576633919817097,2.999999999999988,0,0.0,0.0,0.0
 0.5347303583184572,2.304427217684478,2.75,0.0,1.604191074955372,3.000000000000012,0,0.0,0.0,0.0
 0.5438021448266646,2.3191035426005207,2.75,0.0,1.6314064344799943,3.0000000000000124,0,0.0,0.0,0.0
 0.5527650305418305,2.333846152008266,2.75,0.0,1.6582950916254922,3.0000000000000124,0,0.0,0.0,0.0
 0.561623660035842,2.3486540867914822,2.75,0.0,1.6848709801075268,3.0000000000000124,0,0.0,0.0,0.0
 0.570382330436078,2.3635263878339368,2.75,0.0,1.711146991308235,3.0000000000000253,0,0.0,0.0,0.0
 0.5790450255930004,2.3784620960193976,2.75,0.0,1.7371350767790024,3.0,0,0.0,0.0,0.0
 0.5876154460803047,2.393460252231633,2.75,0.0,1.7628463382409152,3.0,0,0.0,0.0,0.0
 0.5960970356303916,2.4085198973544104,2.75,0.0,1.788291106891176,3.0,0,0.0,0.0,0.0
 0.6044930045076883,2.423640072271498,2.75,0.0,1.813479013523066,3.0000000000000133,0,0.0,0.0,0.0
 0.6128063502408478,2.438819817866663,2.75,0.0,1.8384190507225449,3.0000000000000133,0,0.0,0.0,0.0
 0.6210398760682354,2.4540581750236736,2.75,0.0,1.8631196282047073,2.999999999999973,0,0.0,0.0,0.0
 0.6291962073963354,2.4693541846262983,2.75,0.0,1.8875886221890072,2.9999999999999862,0,0.0,0.0,0.0
 0.6372778065254869,2.484706887558304,2.75,0.0,1.911833419576462,3.0000000000000138,0,0.0,0.0,0.0
 0.6452869858598103,2.5001153247034584,2.75,0.0,1.935860957579432,3.0000000000000275,0,0.0,0.0,0.0
 0.6532259197868837,2.5155785369455304,2.75,0.0,1.9596777593606525,3.0,0,0.0,0.0,0.0
